post_text,date,reactions,comments,impressions,post_url,source,collected_at
Google 25th Birthday - 25 years. 15 products with more than 500m daily users.,2023-09-28,1951,25,0,,batch-scrape,2026-03-31T18:00:51.766541
Lightning Can Strike Twice - 10 years at Google,2023-05-21,1878,102,0,,batch-scrape,2026-03-31T18:00:51.766541
IIM Ahmedabad Lessons - 10 lessons for MBA students,2022-12-10,1502,100,0,,batch-scrape,2026-03-31T18:00:51.766541
What are the benefits of putting seats on top of the airplane?,2023-05-07,746,38,0,,batch-scrape,2026-03-31T18:00:51.766541
Good Manager vs Nice Manager - every single day you will have a choice,2022-09-25,448,35,0,,batch-scrape,2026-03-31T18:00:51.766541
Lessons from Uber Drivers - This week in the Bay Area,2022-06-08,428,39,0,,batch-scrape,2026-03-31T18:00:51.766541
Career Pivot Analysis - how to determine that you should pivot,2023-10-17,365,15,0,,batch-scrape,2026-03-31T18:00:51.766541
Doing a Global Role sitting out of India,2022-04-02,362,17,0,,batch-scrape,2026-03-31T18:00:51.766541
Being a Noogler - wonderful opportunity to share insights,2024-03-26,360,23,0,,batch-scrape,2026-03-31T18:00:51.766541
The Future of the Moat - Decision Traces,2026-01-10,325,43,0,,batch-scrape,2026-03-31T18:00:51.766541
From a Bystander to An Ally - there were only 6,2024-03-12,300,36,0,,batch-scrape,2026-03-31T18:00:51.766541
An impactful journey with Mr Mahindra,2024-07-13,297,17,0,,batch-scrape,2026-03-31T18:00:51.766541
Stakeholder Management - a colleague sought my inputs,2022-03-24,243,22,0,,batch-scrape,2026-03-31T18:00:51.766541
Mistakes I wish I had not made (Part 1),2022-10-14,240,14,0,,batch-scrape,2026-03-31T18:00:51.766541
First 90 Days as a Manager,2023-01-05,233,11,0,,batch-scrape,2026-03-31T18:00:51.766541
How do I know that my partner is the right person for me?,2022-11-04,224,21,0,,batch-scrape,2026-03-31T18:00:51.766541
Chandrayaan 3 / Kalpana - Imagination creates reality,2023-08-24,221,13,0,,batch-scrape,2026-03-31T18:00:51.766541
Perceptions Matter - went to work in Australia,2024-04-11,195,13,0,,batch-scrape,2026-03-31T18:00:51.766541
Calm Resilience - Raising the stakes for ourselves,2022-08-02,193,9,0,,batch-scrape,2026-03-31T18:00:51.766541
Learned Helplessness: Quiet Quitting,2022-09-15,170,21,0,,batch-scrape,2026-03-31T18:00:51.766541
Keeping the Gadfly Alive - SVB,2023-03-12,167,18,0,,batch-scrape,2026-03-31T18:00:51.766541
Gap vs Gain,2022-04-13,166,11,0,,batch-scrape,2026-03-31T18:00:51.766541
Every situation and every person can teach us,2022-05-25,165,22,0,,batch-scrape,2026-03-31T18:00:51.766541
Your value proposition - they said change only one,2022-05-30,163,6,0,,batch-scrape,2026-03-31T18:00:51.766541
Earn more. Save more. Grow more.,2023-07-15,163,11,0,,batch-scrape,2026-03-31T18:00:51.766541
Winter is the time to build,2022-09-03,160,8,0,,batch-scrape,2026-03-31T18:00:51.766541
Mistakes I wish I had not made (Part 2),2022-12-24,155,10,0,,batch-scrape,2026-03-31T18:00:51.766541
Where do you see yourself 10 years from now?,2022-05-07,153,12,0,,batch-scrape,2026-03-31T18:00:51.766541
The five most powerful force multipliers,2022-01-18,151,17,0,,batch-scrape,2026-03-31T18:00:51.766541
Say no to notifications!,2021-12-20,142,14,0,,batch-scrape,2026-03-31T18:00:51.766541
"Ve Haaniyaan - Where there is no love, there is no business",2024-07-27,138,27,0,,batch-scrape,2026-03-31T18:00:51.766541
How should I deal with my underappreciated team member,2023-01-10,134,6,0,,batch-scrape,2026-03-31T18:00:51.766541
Career Volume - Length x Breadth x Depth,2024-07-03,116,10,0,,batch-scrape,2026-03-31T18:00:51.766541
Expectation mismatch to exceptional match,2022-10-01,114,11,0,,batch-scrape,2026-03-31T18:00:51.766541
What these politicians wont do,2024-11-10,113,17,0,,batch-scrape,2026-03-31T18:00:51.766541
"What are you missing in your life? Awakening, Assets, Access",2021-08-08,107,9,0,,batch-scrape,2026-03-31T18:00:51.766541
7 Wonders of AI Value - Efficiency is the floor,2025-12-24,105,5,0,,batch-scrape,2026-03-31T18:00:51.766541
A source of durable inspiration: hiring people better than me,2022-06-15,105,3,0,,batch-scrape,2026-03-31T18:00:51.766541
Sam is here. Being a reliable person will never go out of fashion.,2024-01-26,103,12,0,,batch-scrape,2026-03-31T18:00:51.766541
We can determine to be not poor,2021-12-03,102,3,0,,batch-scrape,2026-03-31T18:00:51.766541
How do I manage this person from another org?,2023-01-13,100,17,0,,batch-scrape,2026-03-31T18:00:51.766541
Stakeholder Centricity IS Customer Centricity,2023-12-16,97,3,0,,batch-scrape,2026-03-31T18:00:51.766541
Love will keep us alive!,2021-08-03,95,6,0,,batch-scrape,2026-03-31T18:00:51.766541
"Focus - do a few things really, really well",2021-10-15,94,13,0,,batch-scrape,2026-03-31T18:00:51.766541
ERGs and privileges - Allama Iqbal,2021-07-30,92,7,0,,batch-scrape,2026-03-31T18:00:51.766541
Never vilify a person - Randy Pausch,2024-03-02,88,4,0,,batch-scrape,2026-03-31T18:00:51.766541
"Love, Fragrance and Excellence",2022-10-18,86,5,0,,batch-scrape,2026-03-31T18:00:51.766541
Return to Office - the return of summer is the summer of return,2022-04-06,84,6,0,,batch-scrape,2026-03-31T18:00:51.766541
AI Adoption - dont chase every launch,2024-06-15,83,5,0,,batch-scrape,2026-03-31T18:00:51.766541
Effort vs Impact,2022-04-22,83,2,0,,batch-scrape,2026-03-31T18:00:51.766541
The three levels of victory,2022-08-31,81,6,0,,batch-scrape,2026-03-31T18:00:51.766541
Are you tiring yourself out?,2021-10-22,79,8,0,,batch-scrape,2026-03-31T18:00:51.766541
Action is a great distraction,2023-01-27,78,5,0,,batch-scrape,2026-03-31T18:00:51.766541
WAGMI - a loss is not a loss till you book it,2022-06-10,77,10,0,,batch-scrape,2026-03-31T18:00:51.766541
O-C-D: Observing. Contributing. Driving.,2024-01-08,76,1,0,,batch-scrape,2026-03-31T18:00:51.766541
Coping and thriving in a largely suboptimal world,2022-08-17,73,7,0,,batch-scrape,2026-03-31T18:00:51.766541
Day in the Life of a Product Manager,2022-12-29,71,1,0,,batch-scrape,2026-03-31T18:00:51.766541
Youngest person in the room,2022-06-23,68,4,0,,batch-scrape,2026-03-31T18:00:51.766541
How to land a transformation,2021-08-15,66,8,0,,batch-scrape,2026-03-31T18:00:51.766541
Planning the battle vs battling the plan,2022-08-05,63,1,0,,batch-scrape,2026-03-31T18:00:51.766541
Org Change Management - shared post,2024-06-26,61,4,0,,batch-scrape,2026-03-31T18:00:51.766541
We can only give what we have,2021-12-11,61,6,0,,batch-scrape,2026-03-31T18:00:51.766541
Being an ambassador - Mr Rozario,2022-09-11,56,3,0,,batch-scrape,2026-03-31T18:00:51.766541
Talk and fear about slowdown / recession is a good thing,2022-06-20,55,2,0,,batch-scrape,2026-03-31T18:00:51.766541
Organizational Metabolism - The Omnibus,2026-03-19,55,3,0,,batch-scrape,2026-03-31T18:00:51.766541
Tomorrow is a better day,2022-12-31,54,0,0,,batch-scrape,2026-03-31T18:00:51.766541
"Person, Purpose and Path",2022-06-08,52,9,0,,batch-scrape,2026-03-31T18:00:51.766541
"Rocks, Pebbles, Sand and Water",2022-04-23,53,5,0,,batch-scrape,2026-03-31T18:00:51.766541
Shadow of the Leader and Shade of the Team,2022-05-11,35,3,0,,batch-scrape,2026-03-31T18:00:51.766541
Aspirin at 81mg prevents heart attacks. At 500mg treats headaches.,2026-03-25,39,2,2521,https://www.linkedin.com/feed/update/urn:li:share:7442620174769266688,xlsx-import,2026-03-31T18:00:51.766541
